Liczba Szeregow,"[94.0659200453231, 78.54665643050801, 67.46349606712647, 59.15223455413046, 52.68857696986378, 47.51806470895392, 43.28791914761299, 39.762985903113375, 36.780483602307534, 34.224150468855065, 32.00873448218756, 30.070300890332472, 28.359961244614897, 26.839693127804413, 25.479480190477894, 24.255310313773727]"
Wielkosc Rozmazania,"[0.028159999999999998, 0.023466666666666667, 0.020114285714285713, 0.017599999999999998, 0.015644444444444443, 0.014079999999999999, 0.012799999999999999, 0.011733333333333333, 0.01083076923076923, 0.010057142857142857, 0.009386666666666666, 0.008799999999999999, 0.008282352941176472, 0.007822222222222222, 0.007410526315789473, 0.007039999999999999]"
Terenowy Zasieg Zdjecia - X,"[76.71875, 92.0625, 107.40625, 122.75, 138.09375, 153.4375, 168.78125, 184.125, 199.46875, 214.8125, 230.15625, 245.5, 260.84375, 276.1875, 291.53125, 306.875]"
Terenowy Zasieg Zdjecia - Y,"[57.34375000000001, 68.8125, 80.28125, 91.75, 103.21875000000001, 114.68750000000001, 126.15625000000001, 137.625, 149.09375, 160.5625, 172.03125, 183.5, 194.96875000000003, 206.43750000000003, 217.90625000000003, 229.37500000000003]"
Wspolczynnik Empiryczny c,"[34.938562148434215, 41.92627457812105, 48.9139870078079, 55.90169943749474, 62.88941186718158, 69.87712429686843, 76.86483672655527, 83.8525491562421, 90.84026158592896, 97.8279740156158, 104.81568644530263, 111.80339887498948, 118.79111130467632, 125.77882373436316, 132.76653616405, 139.75424859373686]"
Liczba Zdjec Calkowita,"[12739.32000846809, 8929.169978384614, 6621.341978669136, 5116.60882377651, 4080.220787496309, 3335.4819965105166, 2781.9209902211546, 2358.955714002476, 2028.278516470618, 1764.6953776694036, 1551.079738964609, 1375.4560320917105, 1229.2439407026313, 1106.1637239227093, 1001.5325818023281, 911.8001127732429]"
Czas Lotu,"[288.0785455918882, 241.05047403184244, 207.46513959735293, 182.27949864888018, 162.6926574844357, 147.0244385119816, 134.20581559882723, 123.52419970640418, 114.48631394638646, 106.73984990562141, 100.02646812784108, 94.15242694040144, 88.96957952913606, 84.36270644789217, 80.24084906205422, 76.5312433750719]"
Liczba Zdjec w Szeregu,"[135.42970719182884, 113.6798227214732, 98.1470330574163, 86.49899470990026, 77.44032999467926, 70.19397816262507, 64.2655282351348, 59.325416852504866, 55.145509732867346, 51.562868719716676, 48.458015102963984, 45.74134582517318, 43.34434487057154, 41.21372471195603, 39.307418138640735, 37.59177272844306]"
Mianownik Skali Zdjecia,"[1562.5, 1875.0, 2187.5, 2500.0, 2812.5, 3125.0, 3437.5, 3750.0, 4062.5, 4375.0, 4687.5, 5000.0, 5312.5, 5625.0, 5937.5, 6250.0]"
Wysokosc Wzgledem Lotniska,"[255.0, 280.0, 305.0, 330.0, 355.0, 380.0, 405.0, 430.0, 455.0, 480.0, 505.0, 530.0, 555.0, 580.0, 605.0, 630.0]"
Baza Podluzna,"[30.66786, 36.80535999999999, 42.94286, 49.08036, 55.21786, 61.35536, 67.49286000000001, 73.63036, 79.76786, 85.90536, 92.04286, 98.18036000000001, 104.31786, 110.45536000000001, 116.59286000000002, 122.73036000000002]"
Powierzchnia Arkusza Mapy,"[16000000.0, 16000000.0, 16000000.0, 16000000.0, 16000000.0, 16000000.0, 16000000.0, 16000000.0, 16000000.0, 16000000.0, 16000000.0, 16000000.0, 16000000.0, 16000000.0, 16000000.0, 16000000.0]"
Czas Otwarcia Migawki,"[0.0019999999999999996, 0.002, 0.002, 0.0019999999999999996, 0.002, 0.0019999999999999996, 0.0019999999999999996, 0.002, 0.002, 0.002, 0.002, 0.0019999999999999996, 0.0020000000000000005, 0.002, 0.002, 0.0019999999999999996]"
