Liczba Szeregow,"[1.0930659200453232, 1.077546656430508, 1.0664634960671264, 1.0581522345541305, 1.0516885769698638, 1.0465180647089538, 1.042287919147613, 1.0387629859031133, 1.0357804836023075, 1.033224150468855, 1.0310087344821877, 1.0290703008903326, 1.027359961244615, 1.0258396931278044, 1.024479480190478, 1.0232553103137738]"
Wielkosc Rozmazania,"[0.0704, 0.058666666666666666, 0.05028571428571429, 0.044, 0.03911111111111112, 0.0352, 0.032, 0.029333333333333333, 0.02707692307692308, 0.025142857142857144, 0.023466666666666667, 0.022, 0.020705882352941175, 0.01955555555555556, 0.018526315789473682, 0.0176]"
Terenowy Zasieg Zdjecia - X,"[76718.75, 92062.5, 107406.25, 122750.0, 138093.75, 153437.5, 168781.25, 184125.0, 199468.75, 214812.5, 230156.25, 245500.0, 260843.75, 276187.5, 291531.25, 306875.0]"
Terenowy Zasieg Zdjecia - Y,"[57343.75000000001, 68812.5, 80281.25, 91750.0, 103218.75000000001, 114687.50000000001, 126156.25000000001, 137625.0, 149093.75, 160562.5, 172031.25, 183500.0, 194968.75000000003, 206437.50000000003, 217906.25000000003, 229375.00000000003]"
Wspolczynnik Empiryczny c,"[34.938562148434215, 41.92627457812105, 48.9139870078079, 55.90169943749474, 62.88941186718158, 69.87712429686843, 76.86483672655527, 83.8525491562421, 90.84026158592896, 97.8279740156158, 104.81568644530263, 111.80339887498948, 118.79111130467632, 125.77882373436316, 132.76653616405, 139.75424859373686]"
Liczba Zdjec Calkowita,"[5.607897868119495, 5.504840861747525, 5.4316553908583245, 5.3769995161368485, 5.33462755241665, 5.300816999402198, 5.273211339839448, 5.250246161735706, 5.230842158333131, 5.214230632820597, 5.199849265565352, 5.187277213458652, 5.176193250883255, 5.16634794188455, 5.157544646853743, 5.149626256085788]"
Czas Lotu,"[380.5574400082406, 377.73575571463783, 375.7206356485685, 374.20949719166015, 373.0342867217934, 372.09419358344616, 371.3250762086569, 370.68417925511153, 370.14190610951044, 369.67711826706454, 369.2743153603978, 368.9218728891514, 368.61090204447544, 368.3344896596008, 368.0871782164505, 367.8646018752316]"
Liczba Zdjec w Szeregu,"[5.130429707191829, 5.108679822721474, 5.0931470330574165, 5.0814989947099, 5.072440329994679, 5.065193978162625, 5.059265528235135, 5.054325416852505, 5.050145509732867, 5.046562868719716, 5.0434580151029635, 5.0407413458251735, 5.038344344870572, 5.036213724711956, 5.034307418138641, 5.032591772728443]"
Mianownik Skali Zdjecia,"[1562.5, 1875.0, 2187.5, 2500.0, 2812.5, 3125.0, 3437.5, 3750.0, 4062.5, 4375.0, 4687.5, 5000.0, 5312.5, 5625.0, 5937.5, 6250.0]"
Wysokosc Wzgledem Lotniska,"[255.0, 280.0, 305.0, 330.0, 355.0, 380.0, 405.0, 430.0, 455.0, 480.0, 505.0, 530.0, 555.0, 580.0, 605.0, 630.0]"
Baza Podluzna,"[30667.860000000004, 36805.36, 42942.86, 49080.36, 55217.86, 61355.36, 67492.86, 73630.36, 79767.86, 85905.36, 92042.86, 98180.36, 104317.86, 110455.36, 116592.86, 122730.36]"
Powierzchnia Arkusza Mapy,"[16000000.0, 16000000.0, 16000000.0, 16000000.0, 16000000.0, 16000000.0, 16000000.0, 16000000.0, 16000000.0, 16000000.0, 16000000.0, 16000000.0, 16000000.0, 16000000.0, 16000000.0, 16000000.0]"
Czas Otwarcia Migawki,"[0.005, 0.005, 0.005, 0.005, 0.005000000000000001, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.004999999999999999, 0.005000000000000001, 0.004999999999999999, 0.005]"
Baza Poprzeczna,"[42980.2875, 51581.85, 60183.4125, 68784.975, 77386.5375, 85988.1, 94589.6625, 103191.22500000002, 111792.78750000002, 120394.35000000002, 128995.91250000002, 137597.475, 146199.0375, 154800.6, 163402.1625, 172003.725]"
Teremowy Wymiar Piksela,"[0.009375, 0.01125, 0.013125, 0.015000000000000001, 0.016875, 0.01875, 0.020625, 0.0225, 0.024375, 0.02625, 0.028125000000000004, 0.030000000000000002, 0.031875, 0.03375, 0.035625000000000004, 0.0375]"
Wysokosc Fotografowania,"[125.0, 150.0, 175.0, 200.0, 225.0, 250.0, 275.0, 300.0, 325.0, 350.0, 375.0, 400.0, 425.0, 450.0, 475.0, 500.0]"
Wymiar_Ternowy_Podlurzny,"[76669.65000000001, 92013.4, 107357.15000000001, 122700.90000000001, 138044.65, 153388.4, 168732.15, 184075.9, 199419.65, 214763.4, 230107.15, 245450.9, 260794.65, 276138.4, 291482.15, 306825.9]"
Dlugosc Szeregu,"[157339.30000000002, 188026.80000000002, 218714.30000000002, 249401.8, 280089.3, 310776.80000000005, 341464.3, 372151.8, 402839.3, 433526.8, 464214.3, 494901.80000000005, 525589.3, 556276.8, 586964.3, 617651.8]"
Terenowy Wymiar Piksela - Maksymalny,"[0.0105, 0.012374999999999999, 0.014249999999999999, 0.016125, 0.018000000000000002, 0.019875, 0.02175, 0.023625, 0.025500000000000002, 0.027375, 0.02925, 0.031125, 0.033, 0.034874999999999996, 0.03675, 0.038625]"
Powierzchnia Stereogramu,"[1318113439.80975, 1898488558.716, 2584447857.30975, 3375991335.5910006, 4273118993.5597506, 5275830831.216001, 6384126848.559751, 7598007045.5910015, 8917471422.309752, 10342519978.716002, 11873152714.809752, 13509369630.591002, 15251170726.059752, 17098556001.216002, 19051525456.05975, 21110079090.591]"
Dystans Miedzy Zdjeciami,"[26.4, 26.4, 26.4, 26.4, 26.4, 26.4, 26.4, 26.4, 26.4, 26.4, 26.4, 26.4, 26.4, 26.4, 26.4, 26.4]"
Terenowy Wymiar Piksela - Minimalny,"[0.00825, 0.010125, 0.012, 0.013875, 0.01575, 0.017625, 0.0195, 0.021375, 0.02325, 0.025125, 0.027, 0.028874999999999998, 0.03075, 0.032625, 0.034499999999999996, 0.036375000000000005]"
Wysokosc Srednia,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Dlugosc Nalotu,"[8372.263680181293, 8310.186625722032, 8265.853984268506, 8232.608938216523, 8206.754307879455, 8186.072258835815, 8169.151676590453, 8155.051943612453, 8143.12193440923, 8132.89660187542, 8124.034937928751, 8116.281203561331, 8109.439844978459, 8103.3587725112175, 8097.917920761912, 8093.021241255095]"
Czas Wykonywania Zdjecia,"[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]"
Skala Zdjecia,"[0.00064, 0.0005333333333333334, 0.00045714285714285713, 0.0004, 0.00035555555555555557, 0.00032, 0.0002909090909090909, 0.0002666666666666667, 0.00024615384615384614, 0.00022857142857142857, 0.00021333333333333333, 0.0002, 0.00018823529411764707, 0.00017777777777777779, 0.00016842105263157895, 0.00016]"
Wymiar Terenowy Poprzeczny,"[57307.05, 68775.8, 80244.55, 91713.3, 103182.05, 114650.8, 126119.55, 137588.30000000002, 149057.05000000002, 160525.80000000002, 171994.55000000002, 183463.30000000002, 194932.05000000002, 206400.80000000002, 217869.55000000002, 229338.30000000002]"
Powierzchnia Zdjecia,"[4399340820.312501, 6335050781.25, 8622708007.8125, 11262312500.0, 14253864257.812502, 17597363281.250004, 21292809570.312504, 25340203125.0, 29739543945.3125, 34490832031.25, 39594067382.8125, 45049250000.0, 50856379882.81251, 57015457031.25001, 63526481445.31251, 70389453125.00002]"
